Territorialidade,Posição IDHM,IDHM,Posição IDHM Renda,IDHM Renda,Posição IDHM Educação,IDHM Educação,Posição IDHM Longevidade,IDHM Longevidade
Vila Nova do Sul (RS),2846,"0,662",2924,"0,645",3122,"0,544",1798,"0,827"
Jacuizinho (RS),2846,"0,662",817,"0,73",4216,"0,487",2307,"0,817"
Três Forquilhas (RS),2846,"0,662",2626,"0,661",3223,"0,539",2504,"0,813"
Barra do Quaraí (RS),2846,"0,662",2667,"0,659",3029,"0,548",3026,"0,802"
Cacique Doble (RS),2846,"0,662",2230,"0,677",3419,"0,528",2661,"0,81"
Pinheiro Machado (RS),2870,"0,661",2020,"0,685",3988,"0,499",901,"0,846"
Fontoura Xavier (RS),2870,"0,661",2466,"0,668",3348,"0,532",2562,"0,812"
Riozinho (RS),2870,"0,661",1890,"0,69",4487,"0,472",40,"0,885"
Cerro Branco (RS),2870,"0,661",2405,"0,671",3434,"0,527",2357,"0,816"
Capela de Santana (RS),2870,"0,661",2295,"0,675",3480,"0,525",2357,"0,816"
Pantano Grande (RS),2870,"0,661",2266,"0,676",3502,"0,524",2357,"0,816"
Esperança do Sul (RS),2870,"0,661",2535,"0,665",2988,"0,55",3570,"0,788"
Cerro Grande do Sul (RS),2898,"0,66",2343,"0,673",3988,"0,499",551,"0,855"
Cristal do Sul (RS),2898,"0,66",3000,"0,641",3163,"0,542",1846,"0,826"
Segredo (RS),2924,"0,659",2343,"0,673",3480,"0,525",2611,"0,811"
Piratini (RS),2946,"0,658",2375,"0,672",3658,"0,517",2112,"0,821"
Jaboticaba (RS),2946,"0,658",3079,"0,636",3053,"0,547",2161,"0,82"
Encruzilhada do Sul (RS),2964,"0,657",2230,"0,677",4373,"0,478",128,"0,875"
Tunas (RS),2964,"0,657",2667,"0,659",3183,"0,541",3362,"0,794"
Arroio Grande (RS),2964,"0,657",2343,"0,673",3549,"0,522",2805,"0,807"
Itacurubi (RS),2964,"0,657",1817,"0,692",3814,"0,509",2940,"0,804"
Mata (RS),2986,"0,656",2647,"0,66",3402,"0,529",2805,"0,807"
Rio dos Índios (RS),2986,"0,656",2924,"0,645",3100,"0,545",2940,"0,804"
Tavares (RS),2986,"0,656",1817,"0,692",4116,"0,492",1747,"0,828"
Vitória das Missões (RS),3008,"0,655",2667,"0,659",3458,"0,526",2696,"0,809"
Manoel Viana (RS),3008,"0,655",1996,"0,686",3300,"0,534",4272,"0,766"
Dezesseis de Novembro (RS),3030,"0,654",3247,"0,625",2924,"0,553",2696,"0,809"
Caraá (RS),3070,"0,652",2626,"0,661",3883,"0,505",1647,"0,83"
São Martinho da Serra (RS),3070,"0,652",2667,"0,659",4047,"0,496",792,"0,848"
Ibarama (RS),3070,"0,652",1996,"0,686",3774,"0,511",3428,"0,792"
Sério (RS),3070,"0,652",1741,"0,695",4502,"0,471",846,"0,847"
São José das Missões (RS),3090,"0,651",2807,"0,652",3163,"0,542",3704,"0,782"
Canguçu (RS),3115,"0,65",2061,"0,683",4143,"0,491",2216,"0,819"
Monte Alegre dos Campos (RS),3115,"0,65",2490,"0,667",3961,"0,501",2064,"0,822"
Barros Cassal (RS),3115,"0,65",1890,"0,69",3979,"0,5",3329,"0,795"
Pinhal da Serra (RS),3115,"0,65",3000,"0,641",3737,"0,513",1419,"0,835"
Mampituba (RS),3136,"0,649",2842,"0,65",3658,"0,517",2504,"0,813"
Cerrito (RS),3136,"0,649",2709,"0,657",3908,"0,504",1951,"0,824"
Unistalda (RS),3136,"0,649",3235,"0,626",3163,"0,542",2940,"0,804"
Dilermando de Aguiar (RS),3156,"0,648",2119,"0,681",4631,"0,463",319,"0,864"
Vale Verde (RS),3186,"0,646",2513,"0,666",4026,"0,497",2357,"0,816"
São Nicolau (RS),3201,"0,645",2685,"0,658",3522,"0,523",3831,"0,778"
Cristal (RS),3222,"0,644",1967,"0,687",4502,"0,471",1846,"0,826"
Hulha Negra (RS),3234,"0,643",2789,"0,653",3753,"0,512",3292,"0,796"
Lagoão (RS),3234,"0,643",3000,"0,641",3883,"0,505",2064,"0,822"
São Valério do Sul (RS),3254,"0,642",2318,"0,674",4332,"0,48",2357,"0,816"
Pedras Altas (RS),3291,"0,64",2883,"0,647",4095,"0,493",2161,"0,82"
Vicente Dutra (RS),3333,"0,638",2732,"0,656",4183,"0,489",2696,"0,809"
Ibirapuitã (RS),3333,"0,638",2212,"0,678",4631,"0,463",1747,"0,828"
Capão do Leão (RS),3357,"0,637",2613,"0,662",4332,"0,48",2453,"0,814"
Capão Bonito do Sul (RS),3357,"0,637",2767,"0,654",3847,"0,507",3775,"0,779"
Gramado Xavier (RS),3407,"0,634",2119,"0,681",4463,"0,473",3428,"0,792"
Santana da Boa Vista (RS),3433,"0,633",3173,"0,63",3925,"0,503",3026,"0,802"
Sinimbu (RS),3469,"0,631",1678,"0,697",4742,"0,456",3428,"0,792"
Redentora (RS),3469,"0,631",3538,"0,606",3522,"0,523",3428,"0,792"
Jari (RS),3469,"0,631",3079,"0,636",4463,"0,473",1370,"0,836"
Turuçu (RS),3501,"0,629",2020,"0,685",4887,"0,446",2453,"0,814"
Vale do Sol (RS),3607,"0,624",2119,"0,681",4964,"0,439",2504,"0,813"
Amaral Ferrador (RS),3607,"0,624",2562,"0,664",4733,"0,457",3026,"0,802"
São José do Norte (RS),3631,"0,623",2592,"0,663",4672,"0,461",3428,"0,792"
Passa Sete (RS),3653,"0,622",3034,"0,639",4284,"0,482",3704,"0,782"
Charrua (RS),3702,"0,62",1605,"0,699",5411,"0,385",40,"0,885"
Benjamin Constant do Sul (RS),3721,"0,619",3607,"0,601",4116,"0,492",3077,"0,801"
Chuvisca (RS),3771,"0,616",2747,"0,655",4988,"0,437",2259,"0,818"
Herveiras (RS),3771,"0,616",2428,"0,67",4948,"0,441",3428,"0,792"
Jaquirana (RS),3820,"0,614",3235,"0,626",4430,"0,475",3775,"0,779"
Lajeado do Bugre (RS),3847,"0,613",3562,"0,604",4599,"0,465",2064,"0,822"
Barão do Triunfo (RS),3902,"0,61",2924,"0,645",5104,"0,428",2112,"0,821"
Dom Feliciano (RS),4467,"0,587",3120,"0,633",5392,"0,39",2259,"0,818"
